000 goldfish
001 European_fire_salamander
002 bullfrog
003 tailed_frog
004 American_alligator
005 boa_constrictor
006 trilobite
007 scorpion
008 black_widow
009 tarantula
010 centipede
011 koala
012 jellyfish
013 brain_coral
014 snail
015 sea_slug
016 American_lobster
017 spiny_lobster
018 black_stork
019 king_penguin
020 albatross
021 dugong
022 Yorkshire_terrier
023 golden_retriever
024 Labrador_retriever
025 German_shepherd
026 standard_poodle
027 tabby
028 Persian_cat
029 Egyptian_cat
030 cougar
031 lion
032 brown_bear
033 ladybug
034 grasshopper
035 walking_stick
036 cockroach
037 mantis
038 dragonfly
039 monarch
040 sulphur_butterfly
041 sea_cucumber
042 guinea_pig
043 hog
044 ox
045 bison
046 bighorn
047 gazelle
048 Arabian_camel
049 orangutan
050 chimpanzee
051 baboon
052 African_elephant
053 lesser_panda
054 abacus
055 academic_gown
056 altar
057 backpack
058 bannister
059 barbershop
060 barn
061 barrel
062 basketball
063 bathtub
064 beach_wagon
065 beacon
066 beaker
067 beer_bottle
068 bikini
069 binoculars
070 birdhouse
071 bow_tie
072 brass
073 bucket
074 bullet_train
075 butcher_shop
076 candle
077 cannon
078 cardigan
079 cash_machine
080 CD_player
081 chest
082 Christmas_stocking
083 cliff_dwelling
084 computer_keyboard
085 confectionery
086 convertible
087 crane
088 dam
089 desk
090 dining_table
091 dumbbell
092 flagpole
093 fly
094 fountain
095 freight_car
096 frying_pan
097 fur_coat
098 gasmask
099 go-kart
100 gondola
101 hourglass
102 iPod
103 jinrikisha
104 kimono
105 lampshade
106 lawn_mower
107 lifeboat
108 limousine
109 magnetic_compass
110 maypole
111 military_uniform
112 miniskirt
113 moving_van
114 neck_brace
115 obelisk
116 oboe
117 organ
118 parking_meter
119 pay-phone
120 picket_fence
121 pill_bottle
122 plunger
123 police_van
124 poncho
125 pop_bottle
126 potter's_wheel
127 projectile
128 punching_bag
129 refrigerator
130 remote_control
131 rocking_chair
132 rugby_ball
133 sandal
134 school_bus
135 scoreboard
136 sewing_machine
137 snorkel
138 sock
139 sombrero
140 space_heater
141 spider_web
142 sports_car
143 steel_arch_bridge
144 stopwatch
145 sunglasses
146 suspension_bridge
147 swimming_trunks
148 syringe
149 teapot
150 teddy
151 thatch
152 torch
153 tractor
154 triumphal_arch
155 trolleybus
156 turnstile
157 umbrella
158 vestment
159 viaduct
160 volleyball
161 water_jug
162 water_tower
163 wok
164 wooden_spoon
165 comic_book
166 reel
167 guacamole
168 ice_cream
169 ice_lolly
170 goose
171 drumstick
172 plate
173 pretzel
174 mashed_potato
175 cauliflower
176 bell_pepper
177 lemon
178 banana
179 pomegranate
180 meat_loaf
181 pizza
182 potpie
183 espresso
184 bee
185 apron
186 pole
187 Chihuahua
188 alp
189 cliff
190 coral_reef
191 lakeside
192 seashore
193 acorn
194 broom
195 mushroom
196 nail
197 chain
198 slug
199 orange
